Price,Age,Engine_Durability,Model_Honda/Volvo/Ford,Model_Isuzu/MG,Model_Jeep/Skoda,Model_Kia/Audi/Maz/Mini/Suz/Land/VW,Model_LDV/GWM,Model_Lexus/BMW,Model_Mit/Hyun/Benz/Ren/Nis/Sub/Toy,Body_Coupe/Convertible,Body_Hatchback,Body_Sedan,Body_Wagon,Transmission_Manual,Drive_AWD,Drive_Rear,Fuel_type_Hybrid,Fuel_type_LPG,Fuel_type_Unleaded
19990.0,10,109.35000000000001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14936.0,10,116.28124999999997,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
18990.0,14,66.24799999999999,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
22500.0,14,41.006249999999994,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19625.0,11,50.41,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16299.0,12,132.49599999999998,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
23990.0,1,106.3142857142857,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
34888.0,5,104.976,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
15950.0,18,154.0125,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
18500.0,11,46.51249999999999,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
24888.0,10,98.41499999999999,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24800.0,12,132.54,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
13880.0,15,246.42,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
26990.0,7,100.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
27990.0,6,87.48,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
18990.0,12,52.019999999999996,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
30990.0,5,100.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10990.0,12,138.01666666666665,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
22999.0,7,81.28124999999999,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
12990.0,12,132.49599999999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19888.0,6,74.31428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14950.0,8,80.65599999999999,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
13950.0,12,104.976,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
10990.0,11,124.0333333333333,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
21990.0,7,100.82,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
11499.0,8,65.025,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19450.0,9,74.41999999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4999.0,17,136.89999999999998,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
14999.0,13,112.02222222222221,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12999.0,11,92.01111111111109,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
15990.0,17,68.00666666666666,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
19980.0,13,132.49599999999998,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
25990.0,14,55.206666666666656,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
24990.0,3,134.42666666666665,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20990.0,8,100.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32990.0,6,87.48,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27868.0,8,92.01111111111109,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
